Algorithm | MatrixType | Seconds | Milliseconds | Nanoseconds | Path | Cost
BranchAndBoundBFS | random | 5,496188 | 5496,187700 | 5496187700,000000 | 0,4,3,9,8,10,1,2,7,5,6,0 | 149
BranchAndBoundBFS | random | 0,005456 | 5,455600 | 5455600,000000 | 0,6,4,7,3,5,1,2,0 | 136
BranchAndBoundBFS | random | 0,000124 | 0,124400 | 124400,000000 | 0,5,3,1,2,4,0 | 150
BranchAndBoundBFS | random | 0,000208 | 0,207900 | 207900,000000 | 0,5,3,1,2,4,0 | 150
BranchAndBoundBFS | random | 0,020812 | 20,812100 | 20812100,000000 | 0,6,4,7,3,5,1,2,0 | 136
BranchAndBoundBFS | random | 4,826924 | 4826,924100 | 4826924100,000000 | 0,4,3,9,8,10,1,2,7,5,6,0 | 149
BranchAndBoundBFS | random | 5,292125 | 5292,125000 | 5292125000,000000 | 0,4,3,9,8,10,1,2,7,5,6,0 | 149
BranchAndBoundBFS | random | 4,982642 | 4982,642400 | 4982642400,000000 | 0,4,3,9,8,10,1,2,7,5,6,0 | 149
BranchAndBoundBFS | random | 0,000196 | 0,195600 | 195600,000000 | 0,5,3,1,2,4,0 | 150
BranchAndBoundBFS | random | 0,000179 | 0,179200 | 179200,000000 | 0,5,3,1,2,4,0 | 150
BranchAndBoundBFS | random | 0,000178 | 0,178000 | 178000,000000 | 0,5,3,1,2,4,0 | 150
BranchAndBoundBFS | random | 0,000170 | 0,170200 | 170200,000000 | 0,5,3,1,2,4,0 | 150
BranchAndBoundBFS | random | 0,000122 | 0,121600 | 121600,000000 | 0,5,3,1,2,4,0 | 150
BranchAndBoundBFS | random | 0,000133 | 0,132600 | 132600,000000 | 0,5,3,1,2,4,0 | 150
