Algorithm | MatrixType | Seconds | Milliseconds | Nanoseconds | Path | Cost
BranchAndBoundBestFirst | random | 0,051713 | 51,713200 | 51713200,000000 | 0,4,3,9,8,10,1,2,7,5,6,0 | 149
BranchAndBoundBestFirst | random | 0,000890 | 0,889800 | 889800,000000 | 0,6,4,7,3,5,1,2,0 | 136
BranchAndBoundBestFirst | random | 0,000111 | 0,111500 | 111500,000000 | 0,5,3,1,2,4,0 | 150
BranchAndBoundBestFirst | random | 0,000123 | 0,123300 | 123300,000000 | 0,5,3,1,2,4,0 | 150
BranchAndBoundBestFirst | random | 0,001044 | 1,044300 | 1044300,000000 | 0,6,4,7,3,5,1,2,0 | 136
BranchAndBoundBestFirst | random | 0,051512 | 51,511600 | 51511600,000000 | 0,4,3,9,8,10,1,2,7,5,6,0 | 149
BranchAndBoundBestFirst | random | 0,064219 | 64,219200 | 64219200,000000 | 0,4,3,9,8,10,1,2,7,5,6,0 | 149
BranchAndBoundBestFirst | random | 0,054287 | 54,287000 | 54287000,000000 | 0,4,3,9,8,10,1,2,7,5,6,0 | 149
BranchAndBoundBestFirst | random | 0,000118 | 0,117700 | 117700,000000 | 0,5,3,1,2,4,0 | 150
BranchAndBoundBestFirst | random | 0,000111 | 0,110500 | 110500,000000 | 0,5,3,1,2,4,0 | 150
BranchAndBoundBestFirst | random | 0,000140 | 0,139800 | 139800,000000 | 0,5,3,1,2,4,0 | 150
BranchAndBoundBestFirst | random | 0,000108 | 0,107800 | 107800,000000 | 0,5,3,1,2,4,0 | 150
BranchAndBoundBestFirst | random | 0,000097 | 0,096600 | 96600,000000 | 0,5,3,1,2,4,0 | 150
BranchAndBoundBestFirst | random | 0,000131 | 0,131200 | 131200,000000 | 0,5,3,1,2,4,0 | 150
