Algorithm | MatrixType | Seconds | Milliseconds | Nanoseconds | Path | Cost
BranchAndBoundDFS | random | 0,269542 | 269,542400 | 269542400,000000 | 0,4,3,9,8,10,1,2,7,5,6,0 | 149
BranchAndBoundDFS | random | 0,001409 | 1,408800 | 1408800,000000 | 0,6,4,7,3,5,1,2,0 | 136
BranchAndBoundDFS | random | 0,000125 | 0,124600 | 124600,000000 | 0,5,3,1,2,4,0 | 150
BranchAndBoundDFS | random | 0,000151 | 0,150800 | 150800,000000 | 0,5,3,1,2,4,0 | 150
BranchAndBoundDFS | random | 0,002066 | 2,065800 | 2065800,000000 | 0,6,4,7,3,5,1,2,0 | 136
BranchAndBoundDFS | random | 0,246597 | 246,596700 | 246596700,000000 | 0,4,3,9,8,10,1,2,7,5,6,0 | 149
BranchAndBoundDFS | random | 0,293810 | 293,810200 | 293810200,000000 | 0,4,3,9,8,10,1,2,7,5,6,0 | 149
BranchAndBoundDFS | random | 0,267327 | 267,326600 | 267326600,000000 | 0,4,3,9,8,10,1,2,7,5,6,0 | 149
BranchAndBoundDFS | random | 0,000146 | 0,146200 | 146200,000000 | 0,5,3,1,2,4,0 | 150
BranchAndBoundDFS | random | 0,000108 | 0,108200 | 108200,000000 | 0,5,3,1,2,4,0 | 150
BranchAndBoundDFS | random | 0,000144 | 0,143700 | 143700,000000 | 0,5,3,1,2,4,0 | 150
BranchAndBoundDFS | random | 0,000132 | 0,132500 | 132500,000000 | 0,5,3,1,2,4,0 | 150
BranchAndBoundDFS | random | 0,000099 | 0,099000 | 99000,000000 | 0,5,3,1,2,4,0 | 150
BranchAndBoundDFS | random | 0,000151 | 0,150800 | 150800,000000 | 0,5,3,1,2,4,0 | 150
