Algorithm | Seconds | Milliseconds | Nanoseconds | Path | Cost
BruteForce | 0,327452 | 327,452100 | 327452100,000000 | 0,2,6,3,8,4,1,7,9,5 | 700
BruteForce | 0,294118 | 294,118400 | 294118400,000000 | 0,9,6,5,7,2,8,1,3,4 | 650
BruteForce | 0,305107 | 305,107000 | 305107000,000000 | 0,3,9,6,4,8,2,5,7,1 | 752
BruteForce | 0,301295 | 301,294900 | 301294900,000000 | 0,2,4,8,5,1,3,6,9,7 | 862
BruteForce | 0,295984 | 295,984300 | 295984300,000000 | 0,6,1,9,2,3,4,8,5,7 | 736
BruteForce | 0,302081 | 302,080800 | 302080800,000000 | 0,3,6,8,9,1,7,2,5,4 | 734
BruteForce | 0,307249 | 307,248700 | 307248700,000000 | 0,5,7,9,8,2,6,3,1,4 | 787
BruteForce | 0,316366 | 316,365900 | 316365900,000000 | 0,5,6,3,7,4,8,2,1,9 | 773
BruteForce | 0,326839 | 326,839100 | 326839100,000000 | 0,4,2,7,9,8,5,1,3,6 | 998
BruteForce | 0,295556 | 295,555500 | 295555500,000000 | 0,1,7,2,4,6,8,9,3,5 | 500
BruteForce | 0,322684 | 322,683500 | 322683500,000000 | 0,6,7,1,3,8,4,2,9,5 | 691
BruteForce | 0,300208 | 300,208000 | 300208000,000000 | 0,5,4,3,9,8,7,6,2,1 | 786
BruteForce | 0,319115 | 319,115200 | 319115200,000000 | 0,3,8,7,6,2,9,4,1,5 | 903
BruteForce | 0,353376 | 353,376200 | 353376200,000000 | 0,3,7,4,9,1,6,8,2,5 | 892
BruteForce | 0,296128 | 296,128000 | 296128000,000000 | 0,5,1,9,7,2,3,6,8,4 | 691
BruteForce | 0,292899 | 292,898900 | 292898900,000000 | 0,6,1,4,2,9,7,8,3,5 | 623
BruteForce | 0,323755 | 323,754500 | 323754500,000000 | 0,4,3,9,2,7,1,5,8,6 | 949
BruteForce | 0,291195 | 291,195300 | 291195300,000000 | 0,5,3,2,9,4,7,1,6,8 | 588
BruteForce | 0,343199 | 343,198500 | 343198500,000000 | 0,4,9,7,1,2,5,6,3,8 | 422
BruteForce | 0,306185 | 306,184500 | 306184500,000000 | 0,4,8,3,6,1,9,2,7,5 | 850
BruteForce | 0,318678 | 318,677900 | 318677900,000000 | 0,4,7,2,6,5,3,9,8,1 | 567
BruteForce | 0,317493 | 317,493300 | 317493300,000000 | 0,8,9,5,6,2,4,7,1,3 | 702
BruteForce | 0,293649 | 293,648700 | 293648700,000000 | 0,6,4,7,3,5,1,2,8,9 | 967
BruteForce | 0,286938 | 286,937500 | 286937500,000000 | 0,4,1,7,3,5,2,9,6,8 | 760
BruteForce | 0,320081 | 320,080700 | 320080700,000000 | 0,5,2,6,4,1,3,7,8,9 | 863
BruteForce | 0,292894 | 292,893900 | 292893900,000000 | 0,1,4,6,3,7,2,5,8,9 | 556
BruteForce | 0,302662 | 302,661500 | 302661500,000000 | 0,1,2,6,9,3,4,8,5,7 | 1147
BruteForce | 0,309610 | 309,610300 | 309610300,000000 | 0,5,3,7,6,8,9,4,1,2 | 864
BruteForce | 0,293757 | 293,756900 | 293756900,000000 | 0,4,7,8,9,6,2,1,5,3 | 880
BruteForce | 0,298330 | 298,330200 | 298330200,000000 | 0,1,7,4,2,6,9,3,8,5 | 591
BruteForce | 0,317817 | 317,816800 | 317816800,000000 | 0,8,4,2,1,6,3,7,5,9 | 1095
BruteForce | 0,289835 | 289,834600 | 289834600,000000 | 0,7,9,4,1,3,2,8,6,5 | 644
BruteForce | 0,291246 | 291,246100 | 291246100,000000 | 0,5,9,8,4,3,6,2,7,1 | 1026
BruteForce | 0,312906 | 312,905800 | 312905800,000000 | 0,4,5,3,6,1,2,7,8,9 | 886
BruteForce | 0,293908 | 293,908200 | 293908200,000000 | 0,6,4,2,3,5,9,7,8,1 | 585
BruteForce | 0,301145 | 301,145300 | 301145300,000000 | 0,7,3,2,9,1,6,4,5,8 | 938
BruteForce | 0,291305 | 291,304500 | 291304500,000000 | 0,6,8,5,4,7,2,1,9,3 | 928
BruteForce | 0,293670 | 293,669900 | 293669900,000000 | 0,6,3,7,1,5,4,8,9,2 | 979
BruteForce | 0,306140 | 306,140300 | 306140300,000000 | 0,6,3,9,1,4,7,8,2,5 | 690
BruteForce | 0,303407 | 303,406600 | 303406600,000000 | 0,4,6,2,3,8,5,9,7,1 | 905
BruteForce | 0,327809 | 327,808500 | 327808500,000000 | 0,2,5,9,4,6,1,7,8,3 | 639
BruteForce | 0,317804 | 317,803800 | 317803800,000000 | 0,8,5,2,3,1,9,7,6,4 | 756
